recipe_name,flavors,rating,success
Caramel Apple Drip Cake with Candied Walnuts ,walnut cinnamon nutmeg apple vanilla walnut vanilla,3.5,0.92
Retro Strawberries-and-Cream Pretzel Tart ,pretzel vanilla strawberry strawberry,3.5,0.9
Salted Apple Pretzel Pie ,apple lemon cinnamon nutmeg pretzel,2.5,0.5
"Cranberry Spice ""Turkey"" Cupcakes with Vanilla Cream Cheese Frosting ",cinnamon nutmeg cranberry vanilla orange,0,0
Olive Oil Cake ,almond lemon lemon vanilla,4,0.1
Chocolate–Almond Praline Cookies ,almond vanilla chocolate,0,0
Apple Pie Cookies ,apple apple lemon cinnamon,3.5,0.8
Spiced Pavlova with Pumpkin Mousse ,ginger allspice nutmeg clove cinnamon pumpkin vanilla pomegranate lemon pumpkin pomegranate,3,0.67
Pecan-Orange Baklava Pie ,honey cinnamon pecan cinnamon orange,3,0.93
Salted Brown Butter Cookies ,vanilla,2.5,0.5
Whole Wheat Cranberry Orange Cupcakes ,orange cranberry orange orange vanilla,0,0
Chocolate and Pumpkin Zebra Cake ,cinnamon allspice ginger clove pumpkin vanilla orange cocoa chocolate vanilla,2.5,0.1
Make-Ahead Whipped Cream ,vanilla,2,0.1
Quick Condensed Milk ,,0,0
No-Stress All-Butter Pastry Crust ,,2.5,0.1
BA's Best Apple Cider Doughnuts ,cinnamon apple apple vanilla nutmeg cinnamon,4,0.1
Apple Brioche Tart ,apple cinnamon,0,0
Blackberry-Tahini Yogurt Cake ,cinnamon orange blackberry tahini,3,0.1
Ricotta Pie with Amarena Cherries ,almond ricotta almond vanilla lemon orange cherry,3,0.1
Tahini Cookies ,honey tahini,4,0.1
Baked Plum Pudding ,plum anise vanilla,3.5,0.1
Pear Crisps with Vanilla Brown Butter ,almond vanilla pear brandy,3,0.74
Crème Brûlée Tart ,vanilla,4,0.92
Orange Cranberry Cupcakes ,orange vanilla cranberry orange orange vanilla,4,0.1
Chewy Chocolate Chip Cookies ,vanilla chocolate,4,0.1
Individual Apple Crisp ,apple lemon cinnamon pecan vanilla,3.5,0.1
Vegan Apple Cider Cupcakes ,apple cinnamon clove allspice apple maple apple vanilla caramel,0,0
Larry the Turkey Cupcakes ,pumpkin pumpkin vanilla chocolate ginger caramel caramel graham marshmallow,0,0
Pumpkin Patch Cupcakes ,orange pumpkin vanilla orange orange,1,0
Pumpkin Spice Cupcakes ,vanilla pumpkin pumpkin,0,0
Pumpkin Pie Spice Mix ,cinnamon ginger allspice nutmeg clove,0,0
Frozen Mini S'mores Pies ,honey graham cocoa,3,0.1
2-Minute Chocolate Chip and Pecan Cookie ,vanilla pecan chocolate,2,0.33
Cherry Compote with Honey Yogurt ,cherry lemon honey,0,0
Oven-Dried Strawberries ,strawberry,4,0.1
Chocolate Spoonful Cake ,chocolate vanilla cocoa chocolate vanilla chocolate chocolate chocolate,2.5,0.68
Autumn Leaves Cupcake Wreath ,chocolate maple orange chocolate caramel chocolate chocolate,0,0
3-Ingredient Ginger-Peach Ice Cream Floats ,peach ginger vanilla,0,0
3-Ingredient Peach Crisp with Granola Topping ,peach,3,0.1
3-Ingredient Seared Dates with Vanilla Ice Cream and Mint ,date vanilla mint,4,0.1
3-Ingredient Creamy Coconut-Lime Ice Pops ,coconut coconut lime,2.5,0.5
Honey Brioche ,lavender lavender,4,0.1
Lemon and Elderflower Tart ,lemon,3.5,0.1
Brownie Ice-Cream Sandwich ,vanilla,0,0
Peanut Butter and Sour Cherry Cheesecake ,cherry vanilla peanut peanut chocolate,0,0
Cinnamon Apple Cupcakes ,vanilla cinnamon apple cinnamon vanilla cinnamon apple cinnamon,0,0
